recipient_raw,count
善源元翁韵,3
大虛歸覲,3
金方伯自貞,3
題李參議堅義積城別墅,3
鄭觀察使 文烱 赴永安道詩卷,3
子啓相公,3
金僉正 湘 奉使耽羅,3
金昌寧 驥孫,3
尹狀元達莘榮親歸鄕,3
李上舍繼孟,3
示冠山東亭,3
冠山東亭,3
康甥之任咸安,3
金校理 訢 奉使日本,3
敏上人,3
人感別,3
惜春,3
秋扇於,3
明府,3
李生之鄕,3
靖節形影神,3
宋少尹處儉,3
胡椒茶具,3
少陵,3
大同樓船,3
原州,3
詠月樓,3
忠州東軒,3
藂石亭,3
前韻以賀之,3
洪同知翁字,3
洪,3
近仁,3
廣原李士高,3
子启,3
支卿出按嶺南,3
金近仁宰珍原,3
大同江,3
梁都事賀還忠淸觀察幕府,3
尹內乘 湯老 點馬嶺南,3
權堤川君饒 景裕 以寓感意,3
張監司 順孫 出按全羅,3
柳侯子淸 濱 赴任古阜,3
李都事仲勻 宗準 赴嶺南監司,3
公 淑瑊,3
李次公 淑瑊,3
曹叔奮隨伯氏赴京,3
李水使,3
申次韶,3
統軍亭雜題曺大虛申次韶,3
軒,3
張寧漢江樓,3
牛師,3
仁叔,3
南原半刺年兄,3
海印寺壁上,3
曺 大虛,3
李子俊出鎭永安北道,3
趙伯符,3
崔斯立,3
陽城,3
坡州牧使李掄,3
全羅都事尹君之行,3
表御史關西之行 沿沫,3
兪修撰 好仁 覲親 公以親老,3
李都事之任湖南用達城君,3
鄭僉樞 孝恒 捧香文化之行,3
煕卿見寄之,3
壻金安老,3
孟御史 漁陽陽樊驛,3
送答,3
子惕書壁上,3
子終孫化去,3
靑鶴洞,3
洪相 貴達,3
梁伯英,3
義城聞韶樓,3
宋可中 軼,3
庶弟叔奮 伸 ○,3
鄭虛菴江南叉魚之樂,3
許獻之 琛 ○,3
韶復入玉堂,3
金太僕 湜,3
從弟存愼,3
贈從弟存愼,3
成安齋重卿 任,3
德優,3
城西,3
稔上人之,3
浩浩,3
次韶秋夜書懷,3
達城相公送閑上人之智異山,3
閑上人之智異山,3
叔強謫歸南方,3
正叔,3
希剛,3
李子厚赴任濟州牧 名㙉,3
洪州樓題,3
曹靜齋 尙治 子規詞 金東峯,3
叔父,3
叔父韻 附叔父贈,3
鄭密陽叔韻 諱蘭茂,3
